file,number,x_std,y_std,width,length,distance,x_var,y_var,people
11,4,9.059471061,39.51248939,101.2479618,22.54595702,34.58291377,82.0740159,1561.236818,0
11,6,52.9313083,25.29897967,70.68119474,162.8101203,55.2264635,2801.723398,640.0383725,0
11,15,120.8220741,29.2652166,81.57886199,358.1239047,108.8726831,14597.9736,856.4529025,0
11,81,428.5166216,67.85267923,254.2892227,1410.359885,378.6748307,183626.495,4603.986079,0
11,6,22.17447912,1.011709978,2.823959843,54.77144492,21.70841068,491.7075241,1.02355708,0
11,228,45.61264969,187.9402605,788.5408411,209.3839177,156.0858723,2080.513812,35321.54152,0
11,210,0,0,0,0,0,0,0,0
11,30,48.79860926,9.434346603,35.76093715,172.870351,41.49118964,2381.304266,89.00689582,0
11,34,86.80085711,4.412833977,15.25167627,292.9784301,75.12607619,7534.388794,19.47310371,0
11,23,65.85141225,20.73294357,57.98083496,205.7354307,62.65964266,4336.408496,429.8549491,0
11,44,252.5196196,55.46561973,200.7546027,704.0107726,232.8472468,63766.15829,3076.434972,0
11,3,21.69981686,8.856474731,20.34838749,47.55289586,22.04228147,470.8820519,78.43714466,0
11,27,15.79312534,238.4591072,768.8214795,55.73801001,206.7021819,249.4228079,56862.74581,0
11,24,9.232444498,197.3547465,632.519777,38.16552076,172.0053816,85.23803141,38948.89596,0
11,17,69.83936746,79.21364236,256.4283984,262.9630158,95.79001485,4877.537247,6274.801136,1
11,5,9.130781142,45.60475621,121.6128447,22.89751534,43.48341717,83.37116426,2079.793789,0
11,5,45.36285545,16.46592991,48.1498065,119.3943987,44.63805658,2057.788655,271.1268477,0
11,13,130.4700196,37.20933926,106.3501695,418.2171971,112.9771417,17022.42601,1384.534928,0
11,53,426.7771408,63.72536088,239.9839187,1528.256803,375.2806689,182138.728,4060.921619,0
11,4,24.27253777,1.630321506,4.242806935,66.06913113,21.25493076,589.1560896,2.657948211,0
11,196,0,0,0,0,0,0,0,0
11,80,429.1194665,64.88863061,250.245336,1558.166002,377.5780713,184143.5165,4210.534382,0
11,6,24.99575557,1.604804123,4.357988392,70.75506247,21.59620009,624.7877963,2.575396274,0
11,244,53.1961144,202.3191487,790.3254812,213.3460104,175.4185399,2829.826587,40933.03792,0
11,30,47.3497166,8.378019628,36.64023004,176.4692928,40.26557342,2241.995662,70.19121289,0
11,34,86.41774962,4.866432113,16.50314645,291.2814996,74.94086323,7468.027449,23.68216151,0
11,23,66.65567217,25.14767811,79.64519805,204.4480748,64.16775256,4442.978632,632.4057143,0
11,44,249.7808174,53.71832537,201.901046,698.5660992,231.5799136,62390.45673,2885.65848,0
11,2,31.94318695,36.6644879,73.32897581,63.88637389,48.6276862,1020.367192,1344.284673,0
11,2,7.850466485,29.48606139,58.97212278,15.70093297,30.51323713,61.62982403,869.4278162,0
11,17,14.04000461,225.3799741,740.7123228,44.31397672,195.4274115,197.1217294,50796.13272,0
11,16,5.912981146,205.7075202,684.7568983,21.35756479,176.6554711,34.96334604,42315.58386,0
11,9,67.89790409,68.49468407,230.976032,225.7207063,77.10062808,4610.125379,4691.521746,1
11,5,12.25079343,68.00140092,192.0332235,34.05714004,58.98322076,150.0819397,4624.190528,0
11,3,35.75133788,32.1063972,76.13312649,85.59796737,43.3904338,1278.15816,1030.820741,0
11,9,118.8056779,34.61761824,101.4963366,378.9270689,106.02587,14114.78911,1198.379493,0
11,208,0,0,0,0,0,0,0,0
11,3,4.637341549,3.386985646,8.173077455,10.72299936,5.271372349,21.50493664,11.47167177,0
11,26,15.89334894,230.3821971,746.0704544,59.22126533,198.994945,252.5985406,53075.95675,0
11,24,10.79751075,196.1215398,609.8973595,36.05319268,171.3768495,116.5862385,38463.65837,0
11,16,58.4947576,79.52867191,283.676508,197.1130577,92.31223973,3421.636667,6324.809656,1
11,6,8.020238583,48.60103749,104.631174,19.13730781,49.12443844,64.32422693,2362.060845,0
11,4,30.48469593,21.82989583,50.91412366,74.64100799,32.44347085,929.3166858,476.5443522,0
11,12,92.6549517,23.53770819,63.63240265,250.8229896,86.91778522,8584.940075,554.0237066,0
11,78,414.7808771,64.68286721,243.3879689,1347.953536,366.5136588,172043.176,4183.873311,0
11,6,28.62575913,1.564266167,4.230262332,83.84745332,23.16118624,819.4340858,2.446928642,0
11,238,52.10623453,199.4250997,775.750882,205.0723733,173.0281768,2715.059677,39770.37037,0
11,28,45.25324938,8.649073093,35.92410234,169.0735905,38.3111032,2047.85658,74.80646537,0
11,22,84.10436118,4.54643823,14.78452958,267.2108327,72.67496321,7073.543569,20.67010058,0
11,16,70.40392396,23.26574175,71.21827344,200.4247656,67.87306831,4956.71251,541.2947391,0
11,31,248.0656433,53.26111031,189.8678794,698.9576931,227.264069,61536.5634,2836.745872,0
11,2,1.101675547,3.598952898,7.197905797,2.203351094,3.763794757,1.213689011,12.95246197,0
11,202,0,0,0,0,0,0,0,0
11,35,89.65492399,4.772629184,16.19398444,294.7136075,77.75963938,8038.005396,22.77798933,0
11,25,71.73652178,24.58641422,80.5248339,214.8553329,68.01819404,5146.128557,604.491764,0
11,41,246.3824336,50.94505811,182.3801849,684.3897866,232.2054628,60704.3036,2595.398946,0
